                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3461,                  7.814,                 2.1492,                0.63381,                0.71952,                0.76636,                0.52839,                  2.429,                 6.9245,                 2.1552,             0.00037022,             0.00037022,             0.00037022
                      2,                 2.2877,                 3.8684,                 2.1326,                0.75456,                 0.8743,                0.89711,                 0.5519,                 2.5494,                 3.2359,                 2.1708,             0.00073322,             0.00073322,             0.00073322
                      3,                 2.2007,                 2.3307,                 2.1419,                 0.8245,                0.86187,                0.91072,                 0.6385,                  2.066,                 1.8366,                 2.1401,              0.0010889,              0.0010889,              0.0010889
                      4,                 2.1392,                 1.8719,                 2.1471,                0.71898,                 0.7522,                0.83286,                0.59777,                 2.0399,                 2.0524,                 2.1986,               0.001078,               0.001078,               0.001078
                      5,                 2.0549,                 1.5841,                 2.1253,                0.83347,                0.90315,                0.95074,                0.74564,                 1.6633,                 1.2525,                   1.99,               0.001067,               0.001067,               0.001067
                      6,                 1.9635,                   1.41,                 2.0811,                 0.9033,                0.88917,                0.95798,                 0.7582,                 1.6513,                 1.0126,                 2.0572,               0.001056,               0.001056,               0.001056
                      7,                 1.9118,                 1.3053,                  2.074,                0.93242,                0.87771,                0.96093,                0.78479,                 1.5328,                0.94829,                 1.9883,               0.001045,               0.001045,               0.001045
                      8,                   1.83,                 1.2835,                  2.033,                0.85702,                0.82917,                0.92103,                0.73949,                 1.6348,                 1.8576,                  1.986,               0.001034,               0.001034,               0.001034
                      9,                  1.779,                 1.1684,                 2.0168,                0.93734,                0.93599,                0.97853,                0.79435,                 1.5483,                0.88997,                 1.9823,               0.001023,               0.001023,               0.001023
                     10,                 1.7927,                 1.1384,                 2.0376,                0.94351,                 0.8345,                 0.9402,                0.76812,                 1.5008,                 1.0461,                 1.9604,               0.001012,               0.001012,               0.001012
                     11,                 1.7315,                 1.0711,                 2.0155,                0.94715,                0.94362,                0.98087,                0.80455,                 1.4474,                0.79646,                 1.9257,               0.001001,               0.001001,               0.001001
                     12,                 1.7052,                 1.0892,                 2.0083,                0.95925,                0.93047,                0.97595,                 0.7958,                 1.5561,                  0.826,                  1.966,             0.00099001,             0.00099001,             0.00099001
                     13,                  1.675,                 1.0122,                 1.9824,                0.96606,                0.95206,                0.98556,                0.83231,                 1.3796,                0.72612,                 1.8852,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.6623,                 1.0654,                 1.9924,                0.94572,                0.91813,                0.96847,                0.79284,                 1.5133,                 1.0215,                 1.9903,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.6083,                 1.0049,                 1.9526,                0.94659,                0.93799,                0.97929,                0.79006,                 1.5561,                0.81593,                  1.967,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.6044,                0.97285,                 1.9885,                0.94136,                0.96621,                0.97927,                0.81411,                 1.4398,                0.72637,                 1.9401,             0.00094602,             0.00094602,             0.00094602
                     17,                  1.585,                0.96221,                 1.9639,                0.96369,                0.95096,                0.97947,                0.81528,                   1.43,                0.73641,                 1.8985,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.6021,                 0.9189,                 1.9489,                 0.9559,                0.94844,                  0.981,                 0.8003,                 1.5253,                 0.7619,                 1.9644,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.5516,                0.92924,                  1.951,                0.88531,                0.95966,                0.97698,                0.83667,                 1.2865,                0.74766,                 1.8533,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.5469,                0.92221,                  1.933,                0.95814,                0.97044,                0.98043,                 0.8299,                 1.3117,                0.67257,                 1.8611,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.5343,                 0.9112,                 1.9578,                0.97957,                0.95498,                0.98399,                0.84732,                 1.2951,                0.67116,                 1.8541,             0.00089102,             0.00089102,             0.00089102
                     22,                  1.505,                0.88633,                 1.9241,                0.95041,                0.95894,                0.97926,                0.83066,                 1.3478,                0.68135,                 1.8794,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.5155,                0.91007,                 1.9359,                0.97981,                0.96671,                0.98524,                0.83985,                 1.2842,                0.61413,                 1.8466,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.4434,                0.89316,                 1.8977,                0.95525,                0.95896,                0.98302,                0.83104,                 1.3263,                0.68365,                  1.868,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.4181,                0.81881,                 1.8778,                0.97373,                0.97743,                0.98406,                0.82996,                 1.3465,                0.61529,                 1.8731,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.4421,                0.83574,                 1.8987,                0.97574,                0.97349,                0.98497,                0.84162,                    1.3,                0.63155,                 1.8542,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.4244,                0.83646,                 1.8944,                0.97622,                0.95701,                0.98317,                0.83008,                 1.3334,                 0.6552,                  1.862,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.4588,                0.83786,                 1.9142,                0.98453,                0.96999,                0.98481,                0.84038,                 1.3044,                0.61014,                 1.8493,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.3937,                0.78141,                 1.8746,                0.94107,                0.92747,                0.97214,                0.81873,                 1.3737,                0.76838,                 1.8701,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.4168,                0.80638,                 1.8871,                0.97257,                 0.9729,                0.98424,                0.85241,                 1.2382,                0.60153,                 1.8296,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.4016,                0.81344,                 1.8863,                0.97349,                0.97198,                0.98261,                0.84126,                 1.2445,                0.58799,                 1.8328,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.3802,                0.78772,                 1.8691,                0.96149,                0.98624,                0.98542,                 0.8524,                 1.2499,                0.58726,                 1.8288,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.3524,                0.78026,                 1.8726,                0.97732,                0.97789,                0.98555,                0.84514,                 1.2277,                 0.5991,                 1.8292,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.3901,                0.82517,                 1.8941,                0.97453,                0.97445,                0.98649,                0.85237,                  1.219,                0.58116,                 1.8168,             0.00074804,             0.00074804,             0.00074804
                     35,                 1.3492,                0.79021,                 1.8806,                0.96007,                0.97865,                0.98711,                0.83776,                  1.309,                 0.6333,                 1.8459,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.3537,                0.74874,                 1.8603,                0.98592,                0.97296,                0.98457,                0.83959,                 1.3113,                0.58588,                 1.8535,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.3589,                0.76519,                 1.8764,                0.98755,                0.96375,                0.98446,                0.85417,                 1.2071,                0.60661,                 1.8116,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.3369,                0.77847,                 1.8708,                0.98109,                0.98179,                0.98512,                0.84198,                 1.2547,                0.57181,                 1.8283,             0.00070404,             0.00070404,             0.00070404
                     39,                  1.362,                0.76212,                 1.8802,                0.96308,                0.98179,                0.98347,                0.85392,                 1.2266,                0.57501,                  1.823,             0.00069304,             0.00069304,             0.00069304
                     40,                  1.324,                0.75094,                 1.8484,                0.97085,                0.96711,                0.98318,                0.84673,                  1.257,                0.57493,                 1.8296,             0.00068204,             0.00068204,             0.00068204
                     41,                  1.301,                0.75102,                 1.8399,                0.98008,                0.97787,                0.98579,                0.85529,                 1.2016,                0.55788,                 1.8095,             0.00067104,             0.00067104,             0.00067104
